company,title,news,evaluation,year,month,day
Exxon Mobil,US COURT REJECTS PUNITIVE AWARD FOR EXXON SPILL,"Federal appeals court again strikes down a punitive-damages award against Exxon Mobil Corp for the 1989 Exxon Valdez oil spill, meaning the oil company may end up paying only a fraction of the jury's original $5 billion penalty (M)",negative,2003,8,25
Exxon Mobil,Oil Industry Hesitates Over Moving Into Arctic Refuge ,"More than three decades ago, the world's largest energy companies led the charge to drill for oil on the North Slope of Alaska. But now, as the debate rages over opening the Arctic National Wildlife Refuge to oil exploration, those same companies remain surprisingly silent. Drilling in the Arctic refuge, which has already been approved by the House, has become a touchstone issue for the Bush administration, and the issue promises to produce a nasty fight in the current debate over the energy bill in the Senate. Publicly, the biggest multinational petroleum companies, like EXXON MOBIL, Royal Dutch/Shell, BP and ChevronTexaco, back the Bush administration's assertion that developing the oil in the Arctic refuge is critical to the American economy. But privately, many large companies say the prospect, solely on business terms, is not terribly attractive. […] The fight over oil drilling in the refuge has flared in Congress every few years, and so far, opponents of drilling have kept the area off limits. Now, proponents of drilling smell the sharpest whiff of victory ever.[…] The battle centers on drilling on the coastal plain of the refuge, a narrow ribbon of land that stretches about 110 miles along the Beaufort Sea. Environmentalists and wildlife biologists say that in the summer, the coastal plain teems with caribou and millions of migratory birds. Drilling for oil there, they argue, would ruin one of the few pristine wilderness areas left on the planet.[…] Even without lawsuits by environmentalists, the earliest any oil from the wildlife refuge would make it to market is 2010, industry executives said. But development efforts could drag out well beyond that date. ""To protect the refuge,"" said Deborah Williams, executive director of the Alaska Conservation Foundation in Anchorage, ""national environmental law firms and Alaskan environmental groups will find every opportunity to challenge drilling.""[…]",negative,2002,3,10
Exxon Mobil,Exxon settles ,[…]The settlement ends years of litigation between Exxon and its insurance companies over who should pay the estimated $A3.2 billion Exxon spent cleaning up the oil spill in Alaska's Prince William Sound. […],negative,1996,11,1
JP MORGAN CHASE & CO.,Keystone XL foes try to stop project financing,"New York--After winning alliances with national lawmakers, environmentalists who oppose the Keystone XL project are taking aim at a new target--the banks that help finance the company whose pipeline would deliver heavy Canadian crude oil from Hardisty, Alberta, to the US Gulf Coast. At a Citigroup shareholders' meeting this spring, Keystone XL opponent and Texas landowner David Daniel cited what he described as TransCanada's bullying tactics against him and asked Citigroup to reject funding any Keystone XL-related loans.[…] In a 12-page letter to Citigroup, Daniel said TransCanada has ""violated trespassing laws, broken agreements, and filed temporary restraining orders against Americans who question their authority."" TransCanada disputes the claims.[…] Environmental activist group Rainforest Action Network has also targeted Citigroup and JP MORGAN CHASE about their financing of TransCanada. JP MORGAN CHASE did not respond to requests for comment. In a letter last October to Citigroup CEO Vikram Pandit and JP MORGAN CHASE CEO Jamie Dimon, RAN's Executive Director Rebecca Tarbotton had a ""concern"" about the banks having been underwriters for a $1 billion TransCanada bond and having each bought $295 million in the transaction. Tarbotton referred to ""environmental commitments"" of the banks and said ""we understand that in addition to minimizing the bank's environmental footprint, these commitments also advance the bank's business interests in limiting its exposure to litigation, future regulation and other risks posed by environmentally dubious activities."" Tarbotton also asked Citigroup to ""review its relationship with TransCanada and request full disclosure of risks associated with the Keystone XL project.""[…]",negative,2011,6,13
PEPSICO,Park is asked to stop sale of water; Environmental concerns cited in appeal to Independence Park,"Several environmental and other groups are teaming up Wednesday to ask that Independence National Historical Park, along with several other iconic national parks, stop selling bottled water.  If they succeed, visitors will be left with a situation - an absurd one, critics say - where they can buy sodas, juice, and other drinks in plastic bottles. But visitors who want water will have to buy a reusable bottle and fill it at a water station with Philadelphia tap water.  The effort is being led by Corporate Accountability International, a nonprofit whose Think Outside the Bottle campaign promotes public water systems.  At People's Plaza in the park on Wednesday, organizer Caroline Wooten and others plan to deliver a 3-by-5-foot card with signatures of park-goers and others representing about 50 groups and businesses.  ""It sends the wrong message about our national commitment to tap water for parks to sell and promote bottled water,"" said Tina Shelton, a Havertown resident with Women's International League for Peace and Freedom, which supports the effort.  The groups say water is a ""human right"" that should not be treated like a commodity, never mind that Philadelphia meters it and charges residents, businesses - and the park - for using it.  ""It really comes back to who is providing our water,"" Wooten said. ""Is it municipal water systems . . . accountable to the public? Or is it Nestlé, Coke, and PEPSI who are accountable to their bottom line?"" […]  Industry advocates say the environmental footprint of bottled water keeps shrinking. The recycling rate is close to 40 percent, according to industry tallies, and in the last 11 years, the average weight of a half-liter PET container has fallen by nearly 50 percent.[…]",negative,2013,3,27
COCA COLA,Will Big Business Save the Earth?,"THERE is a widespread view, particularly among environmentalists and liberals, that big businesses are environmentally destructive, greedy, evil and driven by short-term profits. [...] The embrace of environmental concerns by chief executives has accelerated recently for several reasons. Lower consumption of environmental resources saves money in the short run. Maintaining sustainable resource levels and not polluting saves money in the long run. And a clean image -- one attained by, say, avoiding oil spills and other environmental disasters -- reduces criticism from employees, consumers and government. [...] Global climate change is making water scarcer, especially in the densely populated temperate-zone countries, like the United States, that are Coca-Cola's main customers. [...] Hence Coca-Cola's survival compels it to be deeply concerned with problems of water scarcity, energy, climate change and agriculture. [...]",negative,2009,12,6
PFIZER,Assisting the inquiry,"SIR - After reading your March 8 article 'Toxic sites could cost a bomb,' I felt it necessary to clarify factual errors within the piece. Firstly, Solutia Inc, of St Louis, Missouri, United States, filed for certain protections available under Chapter 11 of the US Bankruptcy Code in December 2003, which provides certain protections to companies while they attempt to reorganise their financial and business holdings. Solutia Inc is undergoing such reorganisation with a view to emerge this year. Solutia's UK subsidiary did not file for such bankruptcy protection. I would also like to clarify that Solutia is not part of the current Monsanto Company. The former Monsanto Company was renamed Pharmacia Corporation and ultimately merged with PFIZER Inc in 2003. Accordingly, the ownership of the businesses of the former Monsanto Company is complex due to changes in corporate ownership over the years. Solutia's corporate headquarters in St Louis can provide more details on the bankruptcy protection process and ownership changes. Solutia has owned and operated the former Monsanto site at Newport since 1997. We have provided archived information to the Environment Agency Wales and to Monsanto in an effort to assist the agency's ongoing investigation into historical waste disposal at Brofiscin quarry.[…] Although apportionment of liability for the disposal activities has not been finally determined, Monsanto Company, on behalf of Pharmacia Corporation, is co-operating with the Environment Agency Wales, to resolve the issues at this site. For more information regarding the historical waste disposal of the Newport facility, please contact Monsanto directly. To view a statement from Monsanto regarding this topic, please visit: http://www. monsanto.co.uk/news /ukshowlib.phtml?uid=11224.[…]",negative,2007,3,13
CHEVRON,AGREEMENT SIGNED; WEST AFRICAN GAS PIPELINE GETS GO-AHEAD.,"One of West Africa's most significant regional energy projects, the West African Gas Pipeline (WAGP), received the green light from the governments of Benin, Togo, Ghana and Nigeria to proceed with development planning after the signing of an historic document in Benin last month. CHEVRON said the memorandum of understanding between the four governments and a consortium of six energy companies grants the rights to develop the WAGP to the consortium, and establishes the initial legal framework for development of the pipeline. […] The pipeline, which is expected to cost around $400 million, will initially ship some 120 million cu ft per day of Nigerian gas for sale to power generation customers in Ghana, Togo and Benin. […] In addition, the WAGP is expected to have a permanent impact on the environment resulting from its 100-million-tonnes reduction of greenhouse gases. Commenting on the project's environment benefits, Kirkland said: ""the availability of natural gas for power generation will reduce the need to use less environmentally friendly fuels, further decreasing air pollutants. Indeed, it is because of these benefits, we believe, that WAGP could qualify as one of the world's first clean development mechanism (CDM) projects under the Kyoto Protocol. The WAGP also dovetails perfectly with CHEVRON's phased Escravos Gas Project (EGP), which exemplifies our commitment to commercialise the vast natural gas resources of Nigeria"" […]",negative,1999,10,31
AMAZON.COM,Major banks lead way in disclosure; Reporting - CARBON DEBATE,"Australia's biggest banks are among the world's leaders in reporting carbon emissions and integrating climate change issues into their business strategy. However, other companies in the retail, telecommunications and mining sectors are lagging behind, according to a major global report.  ""There is certainly room for an improvement,"" said James Day, Australia and New Zealand director of the Carbon Disclosure Project, an international initiative which studies the emissions performance of the world's 500 biggest listed companies.[…] All 13 Australian companies in the Global 500 group responded to the survey, while some notable international ones did not, including Warren Buffett's Berkshire Hathaway, Apple and AMAZON.com in the US, Russian oil giant Rosneft and Bank of China. Part of the pressure on companies to lift their game was coming from investors, while tougher regulations and increasing demand from consumers for low-carbon products and improved performance were also playing a part, Mr Day said.[…]",negative,2011,9,14
Exxon Mobil,What's News,"Exxon Mobil Corp. said it plans to appeal a Louisiana appeals-court decision that held the oil giant liable for more than $100-million (U.S.) in damages in an environmental case. The court reduced an earlier award Thursday, trimming punitive damages awarded by a jury to $112-million from $1-billion, and leaving $56-million in compensatory damages unchanged. But Exxon Mobil, of Irving, Tex., insisted punitive damages weren't warranted and said the compensatory award exceeded cleanup costs. The case involves land leased by former Jefferson Parish district judge Joseph Grefer to Intracoastal Tubular Services Inc., a company contracted to clean and refurbish Exxon's pipes between the 1950s and 1992. Judge Grefer argued the oil industry knew since the 1930s that its pipes were filled with residue containing significant amounts of radium, a carcinogen, and Exxon said nothing in hopes of avoiding liability for cleanup costs.  ",negative,2005,4,4
PEPSICO,TALE OF TWO VISIONS; Behind the De Soto debacle,"Pinellas County's move to expand concessions at Fort De Soto Park died a sudden death last week after residents raised a full-throated outcry. The County Commission office was swamped with more than 1,000 telephone calls and e-mails within a week. Some commissioners said the outpouring topped any in memory. While the Fort De Soto plan shocked some, it was rooted in a yearslong effort to expand county park services and to open public land to moneymaking ventures that offset operating costs. ""It wasn't like we sat around one night and said, yeah, let's do this,"" said assistant county administrator Jake Stowers, after the commissioners' decision. ""It was a thought-out process. And quite honestly, I guess we misjudged some of the feeling in the community.""[…] By 6 2005, the county had assembled a master plan that Stowers said reflected comments from the workshops. The plan called for ""energizing"" parks such as Fort De Soto with outdoor concerts, cafes and art exhibits.[…] Enlisting private companies to boost services at public parks is nothing new, said Paul Cozzie, Pinellas' parks and recreation director.[…] St. Petersburg environmentalist Lorraine Margeson helped rouse the opposition. She said the county failed to understand how precious unspoiled land in development-heavy Pinellas is to residents. Some plan advocates said embracing Hollywood's ideas would have little impact on the park, whose 1,136 acres are home to a beach ranked the best in the nation last year. Margeson finds that laughable. ""I'm sorry, but that is just such baloney,"" she said. ""These were not modest improvements."" The county is now negotiating with PEPSI, Pinellas' official soft drink, about expanding the number of soda machines at parks. The arrangement could be worth $3.2-million to the county over 10 years. Other than the PEPSI deal, county officials say there are no plans to allow private businesses to operate in parks. They are not backing away from the concept, however - the current concessions at Fort DeSoto will be offered for the time being - but officials say they will act cautiously after the Fort De Soto plan backlash.[…]",negative,2006,2,27
COCA COLA,"Troubled Waters; Drought, pollution, mismanagement and politics have made water a precious commodity in much of the world.","[...] CHINA [...] Population: 1.3 billion Crisis: Pollution [...] INDIA [...] Population: 1.2 billion Crisis: Poor distrubution [...] In the state of Gujarat, villagers build a reservoir to collect rainwater. The country has many dams, but most water goes to agriculture. [...] That's not to say, however, that India's farmers have enough. They are actually running low. The government built dams, but it failed to create the additional infrastructure for carrying water throughout the countryside. At the same time, factories have drawn too heavily on both the rivers and the groundwater. In Kerala, a Coca-Cola plant had to be shut down in 2004 because it had taken so much groundwater that villagers nearby were left with almost none. [...] ",negative,2007,6,4
COCA COLA,Cash for containers war,"THE NT Government's court battle to save cash for containers will start today. Drinks industry heavyweights Coca Cola, Schweppes and Lion Nathan vowed to fight the recycling scheme at the Federal Court in Sydney. The Australian Food and Grocery Council argued that the Territory version of the program was expensive, inefficient and of dubious environmental benefit. […]",negative,2013,2,19
CHEVRON,"Big firms, small expectations at APEC summit","TWO corporate giants who are among the biggest contributors to global warming, America's General Motors and CHEVRON Oil, are the major sponsors of the Asia-Pacific Economic Co-Operation business summit which will debate climate change next month. Both companies' recent efforts to get out a cleaner, greener message reflect a ""sense of urgency"" about climate change, said Mark Johnson, who chairs the APEC business advisory council. But in remarks that will further lower expectations for the summit, Mr Johnson told a business forum this week that US business believes there will be little chance of a clear US policy on climate change until after the 2008 presidential election. […] While US President George Bush is due to attend APEC next month for climate change discussions, there are seven different proposals before the US Congress on the issue, including several promoting mandatory targets to cut greenhouse gas emissions, a policy Mr Bush has previously threatened to veto. Just two months ago, Prime Minister John Howard heralded the meeting as possibly the most important on climate change since the Rio Earth summit 15 years ago that established the United Nations framework on climate change. But since then APEC has been overshadowed by Mr Bush's plans to hold a climate summit in Washington in late September and an agreement by the world's leading industrial countries to keep the key climate negotiations inside the UN. […]",negative,2007,8,17
Exxon Mobil,Climate control is a lot of hot air,"[...]IF I'M very, very good in this life and get choose what I'll be in the next, I choose to be a bear. I can't think of anything better: I'd have a sweet tooth, almost no predators and sleep snugly in a cave during the coldest months of the year. I hate winter. I hate wet winters and I hate dry winters. I hate ones with sunny blue skies and ones with howling winds. I hate being cold. And when the only warm place in my house is right in front of the heater, I wish climate change would speed up a bit so the temperature in my bedroom could be a little more temperate. I'm not an out-and-out denialist, but I'm not yet convinced that pollution is the only cause of climate change. Pollution's bad for the planet, humans, plants and animals and the world would be a happier place if we could have everything we need without sending smog signals into the sky. […] This week, former US vice-president Al Gore revealed that climate change denialists - led by ExxonMobil - are funding a disinformation campaign to the tune of $10m a year for research that debunks the link between carbon pollution and climate change. […]",negative,2007,8,11
WAL MART STORES,Retailer set to recycle fluorescent light bulbs,"Some big U.S. retailers are pushing compact fluorescent light bulbs as a way to save energy. But improper disposal of the bulbs creates a hazard, because they contain small amounts of mercury. Recycling them is about to get easier. Home Depot was due to announce Tuesday that it would take back old compact fluorescents in all 1,973 of its stores in the United States, creating the nation's most widespread recycling program for the bulbs. 'We kept hearing from the community that there was a little bit of concern about mercury in the CFLs,'' said Ron Jarvis, Home Depot's senior vice president for environmental innovation, using the industry abbreviation for the bulbs. ''And if the CFLs were in their house, how could they dispose of them?''  Until now, consumers had to seek out local hazardous waste programs or smaller retail chains willing to collect the bulbs for recycling, like Ikea and True Value. Some consumers have waited for retailers like Wal-Mart to have a designated recycling day. Others bought kits to mail the bulbs to a recycling site. […] Both Home Depot and Wal-Mart, the largest U.S. retailer, have vigorously promoted the bulbs as part of their commitment to the environment. Wal-Mart announced in October 2006 that it wanted to sell 100 million compact fluorescents by the end of 2007. It has far surpassed that goal, selling 193 million bulbs to date. […]",negative,2008,6,25
Exxon Mobil,The ethical hijackers,"Greenpeace protesters were last night holding a GM crop ship hostage after hijacking it as it tried to enter dock in Bristol. In a dramatic coup they boarded the Panamanian-registered vessel Etoile shortly after 6pm yesterday using inflatable speed boats as she approached Avonmouth docks.[...]  Greenpeace said that veteran campaigner Reverend Malcolm Carroll was one of those leading protests on board the vessel.[...]  Baptist minister Mr Carroll was one of 28 demonstrators acquitted of theft and criminal damage charges following an earlier anti-GM rally in 1999.[...] Last year Mr Carroll was also one of two Britons arrested with 30 Greenpeace protesters at the US headquarters of EXXON MOBIL, in Irving, Texas. The group dressed in tiger suits as part of an ongoing campaign against the Esso group and the company's ""extreme global warming policy"".",negative,2004,6,21
CHEVRON,"China reports later marriages, smaller families","Chinese are marrying later and having smaller families as a result of official policies to reduce population growth over the past two decades, the official China Youth Daily reported Sunday. […] In Mexico . . . CORAL DAMAGED: A shrimp boat whose engines stalled in bad weather has been blamed for damaging 1,290 square yards of coral May 4, one of the worst cases of damage to Mexican reefs in recent memory.[…]. SPILLED OIL HITS SHORE: Fuel oil that spilled while being unloaded off Baja California has washed up on a 1-mile stretch of shoreline near the beach town of Rosarito, a newspaper said Sunday. However, officials of Mexico's state-run oil company, Petroleos Mexicanos, were quoted by El Universal newspaper as saying the spill involved much less oil than originally estimated and has mostly been cleaned up. Rosarito is 50 miles south of San Diego.The spill occurred Thursday evening, when a pipe carrying fuel oil from the tanker Samuel H. Armacost to a Pemex onshore facility apparently sprang a leak. The ship is operated by CHEVRON Corp.The spill involved 250 gallons of fuel oil but appeared greater because that type of oil spreads easily on water, El Universal quoted officials of Pemex's Maritime Terminals and Environmental Protection office as saying.A spokesman at Pemex headquarters in Mexico City was unable to confirm the report. Original estimates had placed the spill at over 100,000 gallons.Tornadoes . . . […]",negative,1999,5,17
Exxon Mobil,BARGE BLAST ROCKS NEW YORK OIL PORT,"A MASSIVE explosion on a barge carrying 100,000 petrol barrels started a raging fire in New York yesterday. The shipment was docking at an oil storage terminal off Staten Island when the barge caught fire.  Police are adamant it was an accident and not the work of terrorists. The blast sent flames and huge clouds of black smoke billowing into the sky about 25km off the southern tip of Manhattan. Initial reports from the New York fire department said the barge was carrying propane or heating oil at the Port Mobil terminal owned by Exxon Mobil Corp. The company later said it contained unleaded petrol. One person was seriously injured in the fire and two other terminal workers were unaccounted for. Initial fears of a terrorist strike sent a wave of panic over the city with its stock market, The Dow Jones, increasing the price of oil.",negative,2003,2,22
Exxon Mobil,Exxon Corp. to appeal spill judgment,"Exxon Corp. of Irving, Tex., said yesterday it would appeal a $5.06-billion (U.S.) 1 judgment against the company for the 1989 Valdez oil spill. Exxon said it would base its appeal on juror misconduct, jury instructions, compensatory damage errors and what it referred to as the ""excessiveness"" of punitive damages in the case. The largest oil spill in U.S. waters dumped 35,000 tonnes of crude into Alaska's Prince William Sound in 1989. Exxon said it had submitted an appellate brief of its case to the U.S. Court of Appeals for the Ninth Circuit, listing 11 legal issues. The filing follows the company's February filing of a notice that it would appeal the judgment.",negative,1997,6,20
Exxon Mobil,"Four Years After Macondo Spill, Response Skill Evolves, Improves","Mar. 24, 1989: the supertanker Exxon Valdez, en route to refineries in Long Beach, California, runs aground in Prince William Sound, Alaska, spilling enough oil to effect 300 miles of coastline and 11,000 square miles of water. [...] The Marine Spill Response Corp. (MSRC), Marine Well Containment Co. (MWCC) and the Helix Well Containment Group are each prepared, like encamped armies, for the call that the unthinkable has happened again. [...] However, even these preparations may not be enough, Mark Floege, a senior investigator for Greenpeace, told NGW. While the lessons from the Exxon Valdez accident were more ""limited and local"" in nature, Exxon took them seriously, he said. [...] ",negative,2014,4,21
MERCK & COMPANY,Farmer cleared of assault claims state tried to destroy his business,"A FARMER who won Ireland's most celebrated environmental law case has accused the state of trying to put him out of business after he was found not guilty of assaulting a Department of Agriculture official. Judge Tom Teehan told the jury who unanimously acquitted John Hanrahan at Clonmel circuit court last Wednesday that there was ""antipathy"" towards the farmer from the department.  Hanrahan, of Ballycurkeen, Carrick-on-Suir, became a national figure after winning a 10-year legal battle and IR£1m ((EURO)1.2m) in damages 23 years ago against MERCK Sharp & Dohme, then the world's largest pharmaceutical multinational. He claimed toxic emissions from the company's plant at Ballydine were causing birth deformities and sickness in his farm animals, and ill health to himself and his family. However, he then fell into a legal dispute with the department over animal welfare and milk-quota payments. It had been alleged that on May 22, 2007, Hanrahan assaulted Eamonn Quirke, a department vet. Evidence was given in the six-day trial that the farmer, who has skin cancer, drove a Volvo farm loader through a closed gate, striking and injuring Quirke. The vet was among a group of departmental officials who had arrived at Hanrahan's farm to carry out an inspection of dead cattle.[…]",negative,2013,5,5
CHEVRON,Gorgon approval close but pipeline talks continue,"West Australian Energy Minister Clive Brown is finalising a state agreement enabling CHEVRONTEXACO to site its $11 billion Gorgon gas project on Barrow Island as state cabinet prepares to give the project the green light. […] Labor sources have confirmed that cabinet was poised to give approval for the development. The proposal already has the strong backing of West Australian Premier Geoff Gallop, Deputy Premier Eric Ripper and Mr Brown, who are satisfied CHEVRONTEXACO can manage the environmental issues on Barrow Island, an A-class nature reserve. […] Former West Australian premier Richard Court , who now works as a consultant in the oil and gas industry, said the Gorgon development still faced a series of hurdles even if cabinet approved the Barrow Island development proposal. ""Environmental issues are one of the issues, [and] the large multinationals have got too much at stake not to be exemplary citizens,"" Mr Court said. […]",negative,2003,9,1
CHEVRON,Canada's energy firms so far unhurt by oil spill; Analysis,"Canadian energy companies operating offshore could face new regulations in the aftermath of the Gulf of Mexico oil spill and the more aggressive oversight may put their shares at risk. […]The accident killed 11 and left as much as 40,000 barrels a day of crude flowing into the Gulf. A number of countries, including Canada and the United States, are reviewing regulations governing offshore explora-tion following the disaster. New rules haven't been set but it's likely companies will face increased scrutiny and greater delays in their offshore operations. [...] The Obama administration has imposed a six-month moratorium on new deepwater exploratory drilling in the Gulf and new rules for operating in the petroleum-rich region. [...] Canadian regulators have also been more accommodating than their U.S. counterparts on allowing deepwater explora-tion to continue. Last month the province of Newfoundland and Labrador, home to all of Canada's offshore oil projects, allowed CHEVRON Corp. to begin drilling an exploration well in waters nearly twice as deep as the BP well, though with toughened conditions and more frequent inspections.[...]",negative,2010,6,14
COCA COLA,Vending machines drawing fire,"[...] Osaka Lifeline or a waste of electricity? That's the question causing controversy in the Kanto region, as those suffering rolling blackouts outside of Tokyo's 23 wards grow angry at the fact that hot and cold drink vending machines operated by Coca-Cola, Suntory, Kirin and others have not all been turned off. With more than 5.5 million vending machines in operation nationwide, Japan has a reputation for being an automated heaven, where anything from beer to toothbrushes is sold in vending machines. [...] But street corner vending machines selling Coca-Cola, Suntory and Kirin products 24 hours a day have come under fire from those outside the capital who have mounted an international campaign to try to get Coca-Cola in particular to turn off its machines. [...]",negative,2011,3,18
WAL MART STORES,New Halls River plan draws fire,"The second coming of Halls River Retreat opened to bad reviews Thursday as Citrus County planning officials and residents panned the 54-unit condominium project. The proposed time-share complex, which had riled the community and thousands of petitioners staunchly opposed to building on the 9.5-acre site along the Halls River in Homosassa, was killed by a judge's ruling in 2002.[…] Reeves responded by saying developers are willing to pay for all infrastructure improvements needed to support the project. He said the complex would actually improve the Halls River's water quality because of a strict Southwest Florida Water Management drainage plan. Bob Jeeves, secretary of the Homosassa River Alliance, an environmental advocacy group with more than 1,000 members, said the project would be a disaster when coupled with Crystal River's recent annexation of about 520 acres near the coast on which a Wal-Mart Supercenter has been proposed. Priscilla Watkins, who lives near the Halls River site, said the project would cause too much traffic and could endanger neighbors and residents during a hurricane. […]",negative,2004,5,7
Exxon Mobil,EXXON sued by state of Texas over disputed royalties,"THE US state of Texas is suing EXXON MOBIL, the giant oil company, for tens of millions of dollars in compensation to recover royalties it claims are due on oil and gas production.[…] EXXON MOBIL has threatened exhaustive appeals to overturn the Alabama verdict, which awards punitive damages against the oil company for alleged underpayment of about $ 40 million in royalties on natural gas produced from wells in Mobile Bay. The jury awarded $ 87 million in compensation and added $ 3.4 billion in punitive damages by tripling the value of EXXON's annual production from the 13 gas wells.  The fine scales similar heights to those of the penalty levied against EXXON for the Valdez oil pollution disaster, which cost the company $ 5billion in punitive damages.[…]",negative,2001,1,6
Exxon Mobil,ExxonMobil hit with US$4.5b damages ruling,"(PRINCE WILLIAM SOUND) Picture shows tug boats towing the oil tanker Exxon Valdez off Bligh Reef in Prince William Sound to a harbour near Naked Island for repair and salvage efforts, two weeks after the tanker ran aground on 24 March, 1989, and spilled 11 million gallons of crude oil. ExxonMobil was ordered in court to pay US$4.5 billion in punitive damages and US$2.25 billion in interest for the Exxon Valdez oil spill, David Oesting, a lawyer for the plaintiffs, said. The money would go to 32,000 fishermen, natives, landowners, small businessmen and municipalities in south central Alaska who were affected by the spill, but ExxonMobil is expected to appeal the ruling, Mr Oesting said.",negative,2004,2,2
Exxon Mobil,Rockefellers tell Exxon to green up its act,"EXXON Mobil last week announced it made $10.9 billion (Euro 7 billion) in the first quarter of this year, one of the biggest hauls in corporate history. It took a Rockefeller to tell the company that money isn't everything. Last Wednesday in a midtown Manhattan hotel 15 members of the Rockefeller family went public in an attempt to get Exxon to face up to the realities of climate change. The descendants of John D Rockefeller, America's first and biggest oil industry magnate, said that the oil dinosaur faces extinction unless it steps up the search for alternative fuels. ""Kerosene was the alternative energy of its day when he realised it could replace whale oil,"" said Neva Rockefeller Goodwin, great-granddaughter of the Standard Oil founder.[...] Goodwin, an economist and environmentalist, said that Exxon was blinkered by its short-term pursuit of profits. Until relatively recently, Exxon was chief cheerleader, and fundraiser, for the anti-global warming crowd. [...]Greenpeace labelled Exxon the ""number one climate criminal"" and said its lobbying was instrumental in the US's refusal to sign up to the Kyoto protocol, which set targets for reducing pollution in December 1997.[...]",negative,2008,5,4
GENERAL ELECTRIC,Hudson River PCB Cleanup Projects Under Construction,"Construction is accelerating at two Hudson River cleanup projects designed to capture and treat PCBs that for years had been discharged into the river from manufacturing operations. A large sedimentation dewatering facility and a collection-tunnel complex are to begin operating next year. Contractors working for GENERAL ELECTRIC Corp., Fairfield, Conn., will start dredging a 40-mile portion of the upper Hudson River north of Albany next May. GE now is building a 41,000-sq-ft dewatering plant and a transportation facility on a 110-acre site near the Champlain Canal at Fort Edward.  The river bottom will be scoured with clamshell-bucket dredges. Sediment will be dewatered using 12 hydraulic plate-filter presses. Water will be treated to drinking-water standards and returned to the canal. Dried sediment will be sent for disposal at a Texas hazardous-waste landfill. A joint venture of Merco/Obayashi, New Lebanon, N.J., also is mining a tunnel complex 80 ft beneath the river to collect PCBs infiltrating from GE's Hudson Falls site. A 24-ft-dia, 200-ft-deep shaft will lead to two, X-shaped 1,500-ft-long, 10-ft-dia tunnels. A series of wells and horizontal drains will steer the PCBs into the tunnels where it will be pumped to two on-site water treatment plants. […] The project is the result of a contentious battle between GE, the U.S. Environmental Protection Agency and New York state on how to remediate PCBs, used as insulating fluid in capacitors and now considered a probable carcinogen. About 1.8 million cu yd of sediment containing 248,600 lb of PCBs discharged from the 1940s until 1977 will be treated. […]",negative,2008,2,25
Exxon Mobil,Global Eye -- Pack Men,"This is how thugs operate. If you don't play ball, don't toe the line, if you give them any lip, they cut you off at the knees[…]  And so George W. Bush, Dick Cheney, Don Rumsfeld and the rest of the pack started in on Bustani. First they softened him up with some bureaucratic brass knuckles: they illegally withheld U.S. funding for the Convention, leading to a cash crisis at the agency. […]  So the thugs had their way, as they always do in the end. (That Venezuela hiccup will be rectified soon enough, never fear. Chavez might as well book his room in Havana right now -- or else measure himself for a pine box. His days are numbered.) The pack bared their teeth, threw back their heads and brayed their triumph through the marble halls of Washington. After all, it was their second bloody carcass in as many weeks -- just a few days before, they had manipulated the ouster of Robert Watson, head of the Intergovernmental Panel on Climate Change. Watson's crime? Taking a strong stand on global warming. In this case, the Thug-in-Chief acted on orders from on high -- the oil companies that bought and paid for him. EXXON MOBIL sent a memo to the Bush administration ""suggesting"" that Watson be removed from his post -- and lo and behold, Watson is gone.[…]",negative,2002,4,26
CHEVRON,Racial Rift Slows Suit for 'Environmental Justice',"For the 1,400 residents of Kennedy Heights and the many people who have taken up their cause, the Federal court case unfolding here should be a national landmark in the drive for ""environmental justice,"" a legal strategy based on claims that racial minorities are disproportionately subjected to pollution hazards.[…]CHEVRON Corporation, the company that acquired Gulf Oil and is now the defendant in the residents' lawsuit, insists that documented illnesses in the neighborhood do not exceed the average for similar neighborhoods, and that there is no proof of significant oil contamination or that contamination could have caused any illness there. […] While environmental and civil-rights groups have come together in recent years to argue that pollution disproportionately harms minority groups, and the general contention was backed up a few years ago by a major Environmental Protection Agency report, the claims have rarely translated into specific legal awards. In Kennedy Heights, the Gulf memorandum laying out an option to sell the property to a developer of housing for blacks represents an unusual attempt by plaintiffs to use corporate documents to prove environmental racism. […]CHEVRON insists that there is no concrete evidence of excessive health problems in the neighborhood, no evidence that oil or other wastes have contaminated the water supply, and thus no evidence of environmental harm, let alone racism.[…]",negative,1997,9,7
